FID,borocode,boroname,countyfips,ntacode,ntaname,shape_area,shape_leng
0,3.000000000000000,Brooklyn,047,BK43,Midwood,35799637.810300000011921,27996.591273599999113
1,3.000000000000000,Brooklyn,047,BK75,Bedford,32629833.114900000393391,29992.919174400001793
2,2.000000000000000,Bronx,005,BX40,Fordham South,6307283.622019999660552,15878.272921199999473
3,3.000000000000000,Brooklyn,047,BK88,Borough Park,54005019.228600002825260,39247.227722000003268
4,3.000000000000000,Brooklyn,047,BK96,Rugby-Remsen Village,32706946.403499998152256,30957.853394900001149
5,4.000000000000000,Queens,081,QN52,East Flushing,29454379.966299999505281,25843.364955699998973
6,4.000000000000000,Queens,081,QN53,Woodhaven,37001316.627599999308586,28070.585548399998515
7,3.000000000000000,Brooklyn,047,BK44,Madison,27379161.997800000011921,26237.257341000000451
8,4.000000000000000,Queens,081,QN48,Auburndale,34164217.574699997901917,32446.878672999999253
9,2.000000000000000,Bronx,005,BX44,Williamsbridge-Olinville,36273563.808100000023842,27350.973944800000027
10,4.000000000000000,Queens,081,QN51,Murray Hill,52488277.073700003325939,33266.904811200001859
11,4.000000000000000,Queens,081,QN27,East Elmhurst,19726846.100000001490116,19816.712109500000224
12,3.000000000000000,Brooklyn,047,BK81,Brownsville,32730861.109099999070168,27300.781233000001521
13,3.000000000000000,Brooklyn,047,BK85,East New York (Pennsylvania Ave),19397527.299300000071526,24226.850777100000414
14,3.000000000000000,Brooklyn,047,BK41,Kensington-Ocean Parkway,15893349.438599999994040,20800.556075399999827
15,2.000000000000000,Bronx,005,BX46,Parkchester,9180655.231780000030994,12373.255537999999433
16,3.000000000000000,Brooklyn,047,BK95,Erasmus,14522599.500000000000000,18756.702307100000326
17,4.000000000000000,Queens,081,QN33,Cambria Heights,33076798.043999999761581,26168.269539500000974
18,3.000000000000000,Brooklyn,047,BK91,East Flatbush-Farragut,34362243.156400002539158,39211.411680099998193
19,3.000000000000000,Brooklyn,047,BK46,Ocean Parkway South,17782031.868099998682737,21975.997984199999337
20,3.000000000000000,Brooklyn,047,BK93,Starrett City,11598945.823599999770522,17414.781632900001568
21,2.000000000000000,Bronx,005,BX35,Morrisania-Melrose,16891753.516300000250340,27740.845741299999645
22,4.000000000000000,Queens,081,QN29,Elmhurst,32671507.706599999219179,36705.016439599996374
23,1.000000000000000,Manhattan,061,MN22,East Village,10895491.366800000891089,13539.197632499999600
24,4.000000000000000,Queens,081,QN44,Glen Oaks-Floral Park-New Hyde Park,45665592.129299998283386,33596.526631100001396
25,2.000000000000000,Bronx,005,BX33,Longwood,10732451.844200000166893,18982.129300600001443
